season,week,location,team,opponent,final_score,spread_line,team_coach,opponent_coach,game_id
1999,9,Away,KC,IND,17-25,-4,Gunther Cunningham,Jim Mora,1999_09_KC_IND
1999,9,Home,IND,KC,25-17,4,Jim Mora,Gunther Cunningham,1999_09_KC_IND
1999,9,Away,PHI,CAR,7-33,-5,Andy Reid,George Seifert,1999_09_PHI_CAR
1999,9,Home,CAR,PHI,33-7,5,George Seifert,Andy Reid,1999_09_PHI_CAR
1999,9,Away,LA,DET,27-31,4,Dick Vermeil,Bobby Ross,1999_09_STL_DET
1999,9,Home,DET,LA,31-27,-4,Bobby Ross,Dick Vermeil,1999_09_STL_DET
1999,9,Away,TB,NO,31-16,3.5,Tony Dungy,Mike Ditka,1999_09_TB_NO
1999,9,Home,NO,TB,16-31,-3.5,Mike Ditka,Tony Dungy,1999_09_TB_NO
1999,9,Away,PIT,SF,27-6,-2.5,Bill Cowher,Steve Mariucci,1999_09_PIT_SF
1999,9,Home,SF,PIT,6-27,2.5,Steve Mariucci,Bill Cowher,1999_09_PIT_SF
1999,9,Away,CIN,SEA,20-37,-14,Bruce Coslet,Mike Holmgren,1999_09_CIN_SEA
1999,9,Home,SEA,CIN,37-20,14,Mike Holmgren,Bruce Coslet,1999_09_CIN_SEA
1999,9,Away,DEN,LAC,33-17,-0,Mike Shanahan,Mike Riley,1999_09_DEN_SD
1999,9,Home,LAC,DEN,17-33,0,Mike Riley,Mike Shanahan,1999_09_DEN_SD
1999,9,Away,TEN,MIA,0-17,-3,Jeff Fisher,Jimmy Johnson,1999_09_TEN_MIA
1999,9,Home,MIA,TEN,17-0,3,Jimmy Johnson,Jeff Fisher,1999_09_TEN_MIA
1999,9,Away,DAL,MIN,17-27,-6.5,Chan Gailey,Dennis Green,1999_09_DAL_MIN
1999,9,Home,MIN,DAL,27-17,6.5,Dennis Green,Chan Gailey,1999_09_DAL_MIN
1999,10,Away,CAR,LA,10-35,-10,George Seifert,Dick Vermeil,1999_10_CAR_STL
1999,10,Home,LA,CAR,35-10,10,Dick Vermeil,George Seifert,1999_10_CAR_STL
1999,10,Away,CLE,PIT,16-15,-14.5,Chris Palmer,Bill Cowher,1999_10_CLE_PIT
1999,10,Home,PIT,CLE,15-16,14.5,Bill Cowher,Chris Palmer,1999_10_CLE_PIT
1999,10,Away,IND,NYG,27-19,3,Jim Mora,Jim Fassel,1999_10_IND_NYG
1999,10,Home,NYG,IND,19-27,-3,Jim Fassel,Jim Mora,1999_10_IND_NYG
1999,10,Away,KC,TB,10-17,-3,Gunther Cunningham,Tony Dungy,1999_10_KC_TB
1999,10,Home,TB,KC,17-10,3,Tony Dungy,Gunther Cunningham,1999_10_KC_TB
1999,10,Away,MIA,BUF,3-23,-3,Jimmy Johnson,Wade Phillips,1999_10_MIA_BUF
1999,10,Home,BUF,MIA,23-3,3,Wade Phillips,Jimmy Johnson,1999_10_MIA_BUF
1999,10,Away,MIN,CHI,27-24,6.5,Dennis Green,Dick Jauron,1999_10_MIN_CHI
1999,10,Home,CHI,MIN,24-27,-6.5,Dick Jauron,Dennis Green,1999_10_MIN_CHI
