game_id,season,week,team,team_score,opp,opp_score,team_result,location,spread_line,team_coach,opp_coach
2014_03_OAK_NE,2014,3,NE,16,LV,9,7,Home,14,Bill Belichick,Dennis Allen
2014_03_MIN_NO,2014,3,MIN,9,NO,20,-11,Away,-10,Mike Zimmer,Sean Payton
2014_03_MIN_NO,2014,3,NO,20,MIN,9,11,Home,10,Sean Payton,Mike Zimmer
2014_03_HOU_NYG,2014,3,HOU,17,NYG,30,-13,Away,-1,Bill O'Brien,Tom Coughlin
2014_03_HOU_NYG,2014,3,NYG,30,HOU,17,13,Home,1,Tom Coughlin,Bill O'Brien
2014_03_WAS_PHI,2014,3,WAS,34,PHI,37,-3,Away,-4,Jay Gruden,Chip Kelly
2014_03_WAS_PHI,2014,3,PHI,37,WAS,34,3,Home,4,Chip Kelly,Jay Gruden
2014_03_DAL_STL,2014,3,DAL,34,LA,31,3,Away,1.5,Jason Garrett,Jeff Fisher
2014_03_DAL_STL,2014,3,LA,31,DAL,34,-3,Home,-1.5,Jeff Fisher,Jason Garrett
2014_03_SF_ARI,2014,3,SF,14,ARI,23,-9,Away,3,Jim Harbaugh,Bruce Arians
2014_03_SF_ARI,2014,3,ARI,23,SF,14,9,Home,-3,Bruce Arians,Jim Harbaugh
2014_03_KC_MIA,2014,3,KC,34,MIA,15,19,Away,-6,Andy Reid,Joe Philbin
2014_03_KC_MIA,2014,3,MIA,15,KC,34,-19,Home,6,Joe Philbin,Andy Reid
2014_03_DEN_SEA,2014,3,DEN,20,SEA,26,-6,Away,-4,John Fox,Pete Carroll
2014_03_DEN_SEA,2014,3,SEA,26,DEN,20,6,Home,4,Pete Carroll,John Fox
2014_03_PIT_CAR,2014,3,PIT,37,CAR,19,18,Away,-3,Mike Tomlin,Ron Rivera
2014_03_PIT_CAR,2014,3,CAR,19,PIT,37,-18,Home,3,Ron Rivera,Mike Tomlin
2014_03_CHI_NYJ,2014,3,CHI,27,NYJ,19,8,Away,-1.5,Marc Trestman,Rex Ryan
2014_03_CHI_NYJ,2014,3,NYJ,19,CHI,27,-8,Home,1.5,Rex Ryan,Marc Trestman
2014_04_NYG_WAS,2014,4,NYG,45,WAS,14,31,Away,-3,Tom Coughlin,Jay Gruden
2014_04_NYG_WAS,2014,4,WAS,14,NYG,45,-31,Home,3,Jay Gruden,Tom Coughlin
2014_04_CAR_BAL,2014,4,CAR,10,BAL,38,-28,Away,-3.5,Ron Rivera,John Harbaugh
2014_04_CAR_BAL,2014,4,BAL,38,CAR,10,28,Home,3.5,John Harbaugh,Ron Rivera
2014_04_GB_CHI,2014,4,GB,38,CHI,17,21,Away,2,Mike McCarthy,Marc Trestman
2014_04_GB_CHI,2014,4,CHI,17,GB,38,-21,Home,-2,Marc Trestman,Mike McCarthy
2014_04_BUF_HOU,2014,4,BUF,17,HOU,23,-6,Away,-3,Doug Marrone,Bill O'Brien
2014_04_BUF_HOU,2014,4,HOU,23,BUF,17,6,Home,3,Bill O'Brien,Doug Marrone
2014_04_TEN_IND,2014,4,TEN,17,IND,41,-24,Away,-7.5,Ken Whisenhunt,Chuck Pagano
2014_04_TEN_IND,2014,4,IND,41,TEN,17,24,Home,7.5,Chuck Pagano,Ken Whisenhunt
2014_04_DET_NYJ,2014,4,DET,24,NYJ,17,7,Away,-2,Jim Caldwell,Rex Ryan
2014_04_DET_NYJ,2014,4,NYJ,17,DET,24,-7,Home,2,Rex Ryan,Jim Caldwell
2014_04_MIA_OAK,2014,4,MIA,38,LV,14,24,Neutral,4,Joe Philbin,Dennis Allen
2014_04_MIA_OAK,2014,4,LV,14,MIA,38,-24,Neutral,-4,Dennis Allen,Joe Philbin
2014_04_TB_PIT,2014,4,TB,27,PIT,24,3,Away,-7.5,Lovie Smith,Mike Tomlin
2014_04_TB_PIT,2014,4,PIT,24,TB,27,-3,Home,7.5,Mike Tomlin,Lovie Smith
2014_04_JAX_SD,2014,4,JAX,14,LAC,33,-19,Away,-13,Gus Bradley,Mike McCoy
2014_04_JAX_SD,2014,4,LAC,33,JAX,14,19,Home,13,Mike McCoy,Gus Bradley
2014_04_ATL_MIN,2014,4,ATL,28,MIN,41,-13,Away,5.5,Mike Smith,Mike Zimmer
2014_04_ATL_MIN,2014,4,MIN,41,ATL,28,13,Home,-5.5,Mike Zimmer,Mike Smith
2014_04_PHI_SF,2014,4,PHI,21,SF,26,-5,Away,-3.5,Chip Kelly,Jim Harbaugh
2014_04_PHI_SF,2014,4,SF,26,PHI,21,5,Home,3.5,Jim Harbaugh,Chip Kelly
2014_04_NO_DAL,2014,4,NO,17,DAL,38,-21,Away,3,Sean Payton,Jason Garrett
2014_04_NO_DAL,2014,4,DAL,38,NO,17,21,Home,-3,Jason Garrett,Sean Payton
2014_04_NE_KC,2014,4,NE,14,KC,41,-27,Away,3,Bill Belichick,Andy Reid
2014_04_NE_KC,2014,4,KC,41,NE,14,27,Home,-3,Andy Reid,Bill Belichick
2014_05_MIN_GB,2014,5,MIN,10,GB,42,-32,Away,-8.5,Mike Zimmer,Mike McCarthy
2014_05_MIN_GB,2014,5,GB,42,MIN,10,32,Home,8.5,Mike McCarthy,Mike Zimmer
2014_05_CHI_CAR,2014,5,CHI,24,CAR,31,-7,Away,-1.5,Marc Trestman,Ron Rivera
2014_05_CHI_CAR,2014,5,CAR,31,CHI,24,7,Home,1.5,Ron Rivera,Marc Trestman
2014_05_HOU_DAL,2014,5,HOU,17,DAL,20,-3,Away,-5,Bill O'Brien,Jason Garrett
2014_05_HOU_DAL,2014,5,DAL,20,HOU,17,3,Home,5,Jason Garrett,Bill O'Brien
2014_05_BUF_DET,2014,5,BUF,17,DET,14,3,Away,-4.5,Doug Marrone,Jim Caldwell
2014_05_BUF_DET,2014,5,DET,14,BUF,17,-3,Home,4.5,Jim Caldwell,Doug Marrone
2014_05_BAL_IND,2014,5,BAL,13,IND,20,-7,Away,-2.5,John Harbaugh,Chuck Pagano
2014_05_BAL_IND,2014,5,IND,20,BAL,13,7,Home,2.5,Chuck Pagano,John Harbaugh
2014_05_PIT_JAX,2014,5,PIT,17,JAX,9,8,Away,6,Mike Tomlin,Gus Bradley
2014_05_PIT_JAX,2014,5,JAX,9,PIT,17,-8,Home,-6,Gus Bradley,Mike Tomlin
2014_05_TB_NO,2014,5,TB,31,NO,37,-6,Away,-11,Lovie Smith,Sean Payton
2014_05_TB_NO,2014,5,NO,37,TB,31,6,Home,11,Sean Payton,Lovie Smith
2014_05_ATL_NYG,2014,5,ATL,20,NYG,30,-10,Away,-4,Mike Smith,Tom Coughlin
2014_05_ATL_NYG,2014,5,NYG,30,ATL,20,10,Home,4,Tom Coughlin,Mike Smith
2014_05_STL_PHI,2014,5,LA,28,PHI,34,-6,Away,-3.5,Jeff Fisher,Chip Kelly
2014_05_STL_PHI,2014,5,PHI,34,LA,28,6,Home,3.5,Chip Kelly,Jeff Fisher
2014_05_CLE_TEN,2014,5,CLE,29,TEN,28,1,Away,1,Mike Pettine,Ken Whisenhunt
2014_05_CLE_TEN,2014,5,TEN,28,CLE,29,-1,Home,-1,Ken Whisenhunt,Mike Pettine
2014_05_ARI_DEN,2014,5,ARI,20,DEN,41,-21,Away,-8,Bruce Arians,John Fox
2014_05_ARI_DEN,2014,5,DEN,41,ARI,20,21,Home,8,John Fox,Bruce Arians
2014_05_NYJ_SD,2014,5,NYJ,0,LAC,31,-31,Away,-7,Rex Ryan,Mike McCoy
2014_05_NYJ_SD,2014,5,LAC,31,NYJ,0,31,Home,7,Mike McCoy,Rex Ryan
2014_05_KC_SF,2014,5,KC,17,SF,22,-5,Away,-4,Andy Reid,Jim Harbaugh
2014_05_KC_SF,2014,5,SF,22,KC,17,5,Home,4,Jim Harbaugh,Andy Reid
2014_05_CIN_NE,2014,5,CIN,17,NE,43,-26,Away,2.5,Marvin Lewis,Bill Belichick
2014_05_CIN_NE,2014,5,NE,43,CIN,17,26,Home,-2.5,Bill Belichick,Marvin Lewis
2014_05_SEA_WAS,2014,5,SEA,27,WAS,17,10,Away,7,Pete Carroll,Jay Gruden
2014_05_SEA_WAS,2014,5,WAS,17,SEA,27,-10,Home,-7,Jay Gruden,Pete Carroll
2014_06_IND_HOU,2014,6,IND,33,HOU,28,5,Away,2.5,Chuck Pagano,Bill O'Brien
2014_06_IND_HOU,2014,6,HOU,28,IND,33,-5,Home,-2.5,Bill O'Brien,Chuck Pagano
2014_06_NE_BUF,2014,6,NE,37,BUF,22,15,Away,-1,Bill Belichick,Doug Marrone
2014_06_NE_BUF,2014,6,BUF,22,NE,37,-15,Home,1,Doug Marrone,Bill Belichick
2014_06_CAR_CIN,2014,6,CAR,37,CIN,37,0,Away,-7,Ron Rivera,Marvin Lewis
2014_06_CAR_CIN,2014,6,CIN,37,CAR,37,0,Home,7,Marvin Lewis,Ron Rivera
2014_06_PIT_CLE,2014,6,PIT,10,CLE,31,-21,Away,-2.5,Mike Tomlin,Mike Pettine
2014_06_PIT_CLE,2014,6,CLE,31,PIT,10,21,Home,2.5,Mike Pettine,Mike Tomlin
2014_06_GB_MIA,2014,6,GB,27,MIA,24,3,Away,1.5,Mike McCarthy,Joe Philbin
2014_06_GB_MIA,2014,6,MIA,24,GB,27,-3,Home,-1.5,Joe Philbin,Mike McCarthy
2014_06_DET_MIN,2014,6,DET,17,MIN,3,14,Away,-1,Jim Caldwell,Mike Zimmer
2014_06_DET_MIN,2014,6,MIN,3,DET,17,-14,Home,1,Mike Zimmer,Jim Caldwell
2014_06_DEN_NYJ,2014,6,DEN,31,NYJ,17,14,Away,10,John Fox,Rex Ryan
2014_06_DEN_NYJ,2014,6,NYJ,17,DEN,31,-14,Home,-10,Rex Ryan,John Fox
2014_06_BAL_TB,2014,6,BAL,48,TB,17,31,Away,3.5,John Harbaugh,Lovie Smith
2014_06_BAL_TB,2014,6,TB,17,BAL,48,-31,Home,-3.5,Lovie Smith,John Harbaugh
2014_06_JAX_TEN,2014,6,JAX,14,TEN,16,-2,Away,-4,Gus Bradley,Ken Whisenhunt
2014_06_JAX_TEN,2014,6,TEN,16,JAX,14,2,Home,4,Ken Whisenhunt,Gus Bradley
2014_06_SD_OAK,2014,6,LAC,31,LV,28,3,Away,7,Mike McCoy,Tony Sparano
2014_06_SD_OAK,2014,6,LV,28,LAC,31,-3,Home,-7,Tony Sparano,Mike McCoy
2014_06_CHI_ATL,2014,6,CHI,27,ATL,13,14,Away,-3.5,Marc Trestman,Mike Smith
2014_06_CHI_ATL,2014,6,ATL,13,CHI,27,-14,Home,3.5,Mike Smith,Marc Trestman
2014_06_WAS_ARI,2014,6,WAS,20,ARI,30,-10,Away,-5,Jay Gruden,Bruce Arians
2014_06_WAS_ARI,2014,6,ARI,30,WAS,20,10,Home,5,Bruce Arians,Jay Gruden
2014_06_DAL_SEA,2014,6,DAL,30,SEA,23,7,Away,-10,Jason Garrett,Pete Carroll
2014_06_DAL_SEA,2014,6,SEA,23,DAL,30,-7,Home,10,Pete Carroll,Jason Garrett
2014_06_NYG_PHI,2014,6,NYG,0,PHI,27,-27,Away,-1,Tom Coughlin,Chip Kelly
2014_06_NYG_PHI,2014,6,PHI,27,NYG,0,27,Home,1,Chip Kelly,Tom Coughlin
2014_06_SF_STL,2014,6,SF,31,LA,17,14,Away,3.5,Jim Harbaugh,Jeff Fisher
2014_06_SF_STL,2014,6,LA,17,SF,31,-14,Home,-3.5,Jeff Fisher,Jim Harbaugh
2014_07_NYJ_NE,2014,7,NYJ,25,NE,27,-2,Away,-9.5,Rex Ryan,Bill Belichick
2014_07_NYJ_NE,2014,7,NE,27,NYJ,25,2,Home,9.5,Bill Belichick,Rex Ryan
2014_07_ATL_BAL,2014,7,ATL,7,BAL,29,-22,Away,-7,Mike Smith,John Harbaugh
2014_07_ATL_BAL,2014,7,BAL,29,ATL,7,22,Home,7,John Harbaugh,Mike Smith
2014_07_MIN_BUF,2014,7,MIN,16,BUF,17,-1,Away,-7,Mike Zimmer,Doug Marrone
2014_07_MIN_BUF,2014,7,BUF,17,MIN,16,1,Home,7,Doug Marrone,Mike Zimmer
2014_07_MIA_CHI,2014,7,MIA,27,CHI,14,13,Away,-3,Joe Philbin,Marc Trestman
2014_07_MIA_CHI,2014,7,CHI,14,MIA,27,-13,Home,3,Marc Trestman,Joe Philbin
2014_07_NO_DET,2014,7,NO,23,DET,24,-1,Away,-1.5,Sean Payton,Jim Caldwell
2014_07_NO_DET,2014,7,DET,24,NO,23,1,Home,1.5,Jim Caldwell,Sean Payton
2014_07_CAR_GB,2014,7,CAR,17,GB,38,-21,Away,-6.5,Ron Rivera,Mike McCarthy
2014_07_CAR_GB,2014,7,GB,38,CAR,17,21,Home,6.5,Mike McCarthy,Ron Rivera
2014_07_CIN_IND,2014,7,CIN,0,IND,27,-27,Away,-3,Marvin Lewis,Chuck Pagano
2014_07_CIN_IND,2014,7,IND,27,CIN,0,27,Home,3,Chuck Pagano,Marvin Lewis
2014_07_CLE_JAX,2014,7,CLE,6,JAX,24,-18,Away,4,Mike Pettine,Gus Bradley
2014_07_CLE_JAX,2014,7,JAX,24,CLE,6,18,Home,-4,Gus Bradley,Mike Pettine
2014_07_SEA_STL,2014,7,SEA,26,LA,28,-2,Away,7,Pete Carroll,Jeff Fisher
2014_07_SEA_STL,2014,7,LA,28,SEA,26,2,Home,-7,Jeff Fisher,Pete Carroll
2014_07_TEN_WAS,2014,7,TEN,17,WAS,19,-2,Away,-6,Ken Whisenhunt,Jay Gruden
2014_07_TEN_WAS,2014,7,WAS,19,TEN,17,2,Home,6,Jay Gruden,Ken Whisenhunt
